data_apr21_mar22_V2$member_casual,data_apr21_mar22_V2$time_of_day,data_apr21_mar22_V2$ride_id
member,00:10:25,9
casual,00:10:26,18
member,00:10:26,13
casual,00:10:27,20
member,00:10:27,10
casual,00:10:28,13
member,00:10:28,12
casual,00:10:29,16
member,00:10:29,9
casual,00:10:30,17
member,00:10:30,9
casual,00:10:31,20
member,00:10:31,7
casual,00:10:32,18
member,00:10:32,9
casual,00:10:33,16
member,00:10:33,11
casual,00:10:34,15
member,00:10:34,13
casual,00:10:35,13
member,00:10:35,11
casual,00:10:36,20
member,00:10:36,10
casual,00:10:37,15
member,00:10:37,12
casual,00:10:38,17
member,00:10:38,8
casual,00:10:39,15
member,00:10:39,8
casual,00:10:40,14
member,00:10:40,14
casual,00:10:41,20
member,00:10:41,14
casual,00:10:42,19
member,00:10:42,5
casual,00:10:43,23
member,00:10:43,10
casual,00:10:44,8
member,00:10:44,12
casual,00:10:45,16
member,00:10:45,10
casual,00:10:46,19
member,00:10:46,13
casual,00:10:47,12
member,00:10:47,13
